标志,ID,人物,位置,内容,跳转,是否锁定,效果,目标
#,92,泰拉,右,这是我们全家唯一一张合照,93,否,,
#,93,泰拉,右,也是我最后一次看见父亲的笑容,94,否,,
#,94,泰拉,右,我的妈妈是劳动建设部的工程师,95,否,,
#,95,泰拉,右,她在我小时被诊断得了“辐射病”,96,否,,
#,96,泰拉,右,这是由于这个恒星系的气态行星和小行星带尘埃作用造成的,97,否,,
#,97,泰拉,右,辐射病是一种神经毒素病 地球时代的人可没见过,98,否,,
#,98,泰拉,右,妈妈因为病情太重 被接到了安定室 直到去世,99,否,,
#,99,泰拉,右,我的爸爸是一名科研员 他和妈妈都是最晚一批苏醒的,100,否,,
#,100,泰拉,右,他们都是在地球出生的“旧时代”的人,101,否,,
#,101,泰拉,右,在我小时候 爸爸喜欢给我讲地球上的趣事,102,否,,
#,102,泰拉,右,妈妈去世后,103,否,,
#,103,泰拉,右,父亲就再不怎么说话了,104,否,,
#,104,泰拉,右,在我12岁那年..父亲失踪了,105,否,,
#,105,泰拉,右,父亲...你在哪？,106,否,,
#,106,泰拉,右,所有人都不知道你的去向……,107,否,,
END,107,,,,,否,,
#,108,泰拉,右,欸 这是??,109,否,,
#,109,泰拉,右,妈妈的病历单?,110,否,,
#,110,泰拉,右,我之前怎么没有发现,111,否,,
END,111,,,,,否,,
#,112,泰拉,右,这个密码似乎刚才看见过,113,否,,
END,113,,,,,否,,
#,114,Mao,左,这支枪是伤害最低的防身设备 每个子弹内含有镇定剂,115,否,,
#,115,Mao,左,每个成年干员都会随身配备,116,否,,
#,116,Mao,左,当船上发现因"蓝星病"而发狂的人员时,117,否,,
#,117,Mao,左,可以对其发射,118,否,,
#,118,Mao,左,当人员受到伤害大于护甲时,119,否,,
#,119,Mao,左,会陷入沉睡状态,120,否,,
#,120,Mao,左,但要注意如果伤害过高 危及到人员的生命 会十分危险,121,否,,
#,121,Mao,左,请注意药剂的用量,122,否,,
#,122,Mao,左,现在为您生成一个模拟训练AI,123,否,,
#,123,Mao,左,您可以向他开枪练习,124,否,,
#,124,Mao,左,注意 AI的护甲已经完全击破,125,否,,
#,125,Mao,左,再次开枪会损害生命,126,否,,
#,126,Mao,左,如果误杀了船员的性命,127,否,,
#,127,Mao,左,会扣除您一定的积分,128,否,,
END,128,,,,,,,
#,129,受伤的清理员,左,你......你没中毒,130,否,,
#,130,受伤的清理员,左,主舱这里居然还有人,131,否,,
#,131,泰拉,右,我本来今天要去报道的 不小心睡过了 到底发生什么事了,132,否,,
#,132,受伤的清理员,左,今天炽星的黑子突然爆发,133,否,,
#,133,受伤的清理员,左,在外作业的基建部干员没有做好充足的保护,134,否,,
#,134,受伤的清理员,左,身体收到了辐射和矿石感染 陷入了狂躁状态,135,否,,
#,135,受伤的清理员,左,他们已经破坏了船西部的电力系统,136,否,,
#,136,受伤的清理员,左,目前整艘船处于供电不足的状态 余电一旦用完 整艘船都会瘫痪,137,否,,
#,137,泰拉,右,我明白了 目前的当务之急就是恢复船上的电力系统 可为什么只有你在这里?,138,否,,
#,138,受伤的清理员,左,整个监察部的干员都被困在了东部训练场 减压仓因低电量而关闭了,139,否,,
#,139,受伤的清理员,左,我前来恢复供电系统 没想到受到了失控干员的袭击 他们就在那边,140,否,,
#,140,泰拉,右,我知道了 我会把电力系统恢复的 可是你怎么办?,141,否,,
#,141,受伤的清理员,左,没事 我在掩体这里 他们暂时看不到,142,否,,
#,142,受伤的清理员,左,遇到他们 只需要注射镇定子弹 就可以让他们陷入昏迷状态  切记不可过量 会伤到他们的性命,143,否,,
#,143,受伤的清理员,左,当下最着急的 是进入配电间 将飞船的供电系统恢复,144,否,,
#,144,受伤的清理员,左,不然整个星舰国际都会覆灭,145,否,,
#,145,受伤的清理员,左,别忘了我们是以什么代价来到这里的,146,否,,
#,146,受伤的清理员,左,除了这里......我们......已经没有家了,147,否,,
END,147,,,,,,,
#,148,朴义君,左,#005号干员 泰拉.....收到请回答,149,否,,
#,149,泰拉,右,我在,150,否,,
#,150,泰拉,右,抱歉指挥官 我刚刚在休息中......,151,否,,
#,151,泰拉,右,是训练场需要备用干员的协助吗 如果需要的话 我......,152,否,,
#,152,朴义君,左,炽星风暴爆发了!,153,否,,
#,153,朴义君,左,恒星风摧毁了飞船的电力系统,154,否,,
#,154,朴义君,左,现在整个船都在以余电低功耗地运行,155,否,,
#,155,朴义君,左,东区训练场这边的减压阀因供电不足而停运了,156,否,,
#,156,朴义君,左,我们都被困在这里,157,否,,
#,157,朴义君,左,你应该还在西区的宿舍吧,158,否,,
#,158,朴义君,左,我们需要你的协助,159,否,,
#,159,泰拉,右,可是我只是个备用干员......,160,否,,
#,160,泰拉,右,我觉得我做不到......,161,否,,
#,161,朴义君,左,你必须做到!,162,否,,
#,162,朴义君,左,不要重蹈你父亲的旧辙......,163,否,,
#,163,朴义君,左,完成这个任务 我们会既往不咎 提拔你为正式干员,164,否,,
#,164,泰拉,右,我父亲不是星舰国际的叛徒! 他......,165,否,,
#,165,朴义君,左,泰拉!,166,否,,
#,166,朴义君,左,整个银河系人类的命运把我在你的手里,167,否,,
#,167,朴义君,左,时间不多了,168,否,,
#,168,朴义君,左,赶紧先去配电间 更换备用电池,169,否,,
#,169,朴义君,左,东区恢复电力后 启动减压阀 去舱外将损坏的太阳能板修正,170,否,,
#,170,朴义君,左,事成之后,171,否,,
#,171,朴义君,左,我会告诉你父亲的真相,172,否,,
#,172,泰拉,右,我明白了......,173,否,,
END,173,,,,,,,
#,174,泰拉,右,先不管那么多了,175,否,,
#,175,泰拉,右,为了查明父亲真相,176,否,,
#,176,泰拉,右,为了让大家活下来,177,否,,
#,177,泰拉,右,完成任务更重要,178,否,,
#,178,泰拉,右,更何况成为了正式干员,179,否,,
#,179,泰拉,右,就能获得更高的权限,180,否,,
#,180,泰拉,右,或许能查明父亲的下落......,181,否,,
#,181,泰拉,右,先找到电间更换备用电池吧,182,否,,
END,182,,,,,,,
#,183,干员A,左,呦,184,否,,
#,184,干员A,左,瞧瞧谁来了,185,否,,
#,185,干员B,左,我们的正式......哦不,186,否,,
#,186,干员B,左,即将因功转正的 备 用 干 员来了!,187,否,,
#,187,泰拉,右,(沉默不语),188,否,,
#,188,干员B,左,你可让小爷我等太久了,189,否,,
#,189,干员B,左,作为备用干员,190,否,,
#,190,干员B,左,场外协助应该及时,191,否,,
#,191,干员A,左,说不定这次停电还是你那爸爸捣的鬼,192,否,,
&,192,泰拉,右,怒吼"不许说我父亲!",198,否,,
&,193,泰拉,右,沉默,194,否,,
#,194,干员A,左,呵呵 不敢说话了吧,195,否,,
#,195,干员A,左,跟你那父亲一样,196,否,,
#,196,干员A,左,迟早是星舰国际的叛徒,197,否,,
#,197,干员A,左,谁知道这次救我们安的什么心,202,否,,
#,198,干员A,左,谁 谁怕你啊,199,否,,
#,199,干员A,左,这么大火气,200,否,,
#,200,干员A,左,停电不是你干的吧   ,201,否,,
#,201,干员A,左,我 我要去朴舰长那里举报你,202,否,,
END,202,,,,,,,
#,203,干员C,左,听说 是那个泰拉把电力系统恢复了,204,否,,
#,204,干员C,左,还挺厉害的......,205,否,,
#,205,泰拉,右,嗨 你们好!,206,否,,
#,206,干员C,左,(干员脸上是略显尴尬的表情),207,否,,
#,207,干员C,左,你......你好啊......泰,208,否,,
#,208,干员D,左,(另一个干员拉住正在说话干员的胳膊),209,否,,
#,209,干员D,左,我们继续聊回自己的事吧,210,否,,
END,210,,,,211,,,
#,211,泰拉,右,指挥官......,212,否,,
#,212,泰拉,右,我来报道了,213,否,,
#,213,朴义君,左,哦 是泰拉啊,214,否,,
#,214,朴义君,左,一会儿开会我会和大家同步下你这次的事迹,215,否,,
#,215,泰拉,右,(不知道是不是我看错了),216,否,,
#,216,泰拉,右,(我似乎从指挥官的眼神中看到一丝轻蔑的意味),217,否,,
#,217,朴义君,左,做的不错,218,否,,
#,218,朴义君,左,以后就是正式干员,219,否,,
#,219,朴义君,左,和大家一起训练吧,220,否,,
#,220,朴义君,左,会议要开始了,221,否,,
#,221,朴义君,左,我去准备下,222,否,,
#,222,泰拉,右,是,223,否,,
END,223,,,,,,,
#,224,秋原,左,欢迎来到控制室,225,否,,
#,225,秋原,左,今天是你第一次进行工作,226,否,,
#,226,秋原,左,我会先将工作流程简述一遍,227,否,,
#,227,秋原,左,准备好了吗?,228,否,,
#,228,泰拉,右,准备好了,229,否,,
#,229,泰拉,右,好,230,否,,
#,230,秋原,左,清理员是星舰国际最重要的干员之一,231,否,,
#,231,秋原,左,我们所进行的日常工作,232,否,,
#,232,秋原,左,就是将系统检测到的不同维度的文明信号清除,233,否,,
&,233,泰拉,右,有点抽象?,236,否,,
&,234,泰拉,右,好吧,238,否,,
&,235,泰拉,右,哦 就是类似给系统清除病毒的工作?,237,否,,
#,236,秋原,左,没关系 我将进一步解释,238,否,,
#,237,秋原,左,很相似,238,否,,
#,238,秋原,左,我们作为一个三维文明,239,否,,
#,239,秋原,左,其实是生活在一片黑暗森林里,240,否,,
#,240,秋原,左,森林里处处是看不到的猎人,241,否,,
#,241,秋原,左,这些猎人 就是其他文明,242,否,,
#,242,秋原,左,当我们先一步发现其他文明时,243,否,,
#,243,秋原,左,要先发制人,244,否,,
#,244,秋原,左,因此我们做的工作,245,否,,
#,245,秋原,左,其实就是防患于未然,246,否,,
#,246,秋原,左,在我们的领空 系统检测到其他文明的踪迹,247,否,,
#,247,秋原,左,我们就需要将这些信号的个体抹除,248,否,,
#,248,泰拉,右,个体,249,否,,
#,249,泰拉,右,也就是说,250,否,,
&,250,泰拉,右,我在杀生吗......,252,否,,
&,251,泰拉,右,我会伤害其他人吗?,252,否,,
#,252,秋原,左,弱肉强食,253,否,,
#,253,秋原,左,所有高阶文明都是这么做的,254,否,,
#,254,秋原,左,更何况大多时候,255,否,,
#,255,秋原,左,一些我们留下的太空垃圾也会误判为文明信号,256,否,,
#,256,秋原,左,你遇到到真正文明的可能性还算比较低,257,否,,
#,257,秋原,左,不要道德绑架自己,258,否,,
#,258,秋原,左,还有,259,否,,
#,259,秋原,左,绝对理智,260,否,,
#,260,秋原,左,才是文明生存下去的钥匙,261,否,,
#,261,泰拉,右,绝对理智吗......,262,否,,
#,262,泰拉,右,那我们对他人的同情与情感,263,否,,
#,263,泰拉,右,难道就忽视了吗,264,否,,
#,264,秋原,左,情感在现阶段,265,否,,
#,265,秋原,左,需要摒弃掉,266,否,,
#,266,泰拉,右,那如果我们遇到地球 抱歉口误了 蓝星的信号呢,267,否,,
#,267,泰拉,右,要将其消灭吗,268,否,,
#,268,秋原,左,(秋原上校轻叹一口气),269,否,,
#,269,秋原,左,需要,270,否,,
#,270,秋原,左,我们在黑暗战役中,271,否,,
#,271,秋原,左,就差点被所谓的地球同胞诱骗返航,272,否,,
#,272,秋原,左,但是值得让你安慰的是,273,否,,
#,273,秋原,左,我们已经飞出太阳系三十光年了,274,否,,
#,274,秋原,左,按照蓝星的科技水平,275,否,,
#,275,秋原,左,我们遇不到他们,276,否,,
#,276,秋原,左,那么,277,否,,
#,277,秋原,左,现在你准备好工作了吗,278,否,,
#,278,泰拉,右,大概准备好了,279,否,,
#,279,秋原,左,没时间浪费了,280,否,,
#,280,秋原,左,我去中控台指挥大家,281,否,,
#,281,秋原,左,五分钟后,282,否,,
#,282,秋原,左,作战开始,283,否,,
#,283,秋原,左,我会远程对你进行辅助,284,否,,
#,284,泰拉,右,好,285,否,,
END,285,,,,,,,
#,286,神秘人士,左,3号控制室的干员听着,287,否,,
#,287,神秘人士,左,不要妄动,288,否,,
#,288,泰拉,右,谁,289,否,,
#,289,泰拉,右,谁在控制信息屏,290,否,,
#,290,神秘人士,左,哦 ,291,否,,
#,291,神秘人士,左,我看你有点眼熟,292,否,,
#,292,神秘人士,左,想起来了,293,否,,
#,293,神秘人士,左,你是那混球的儿子,294,否,,
#,294,泰拉,右,你认识,295,否,,
#,295,泰拉,右,我父亲?,296,否,,
#,296,神秘人士,左,不但认识,297,否,,
#,297,神秘人士,左,他还是我们组织的佳话呢,298,否,,
#,298,神秘人士,左,你爹这小子,299,否,,
#,299,神秘人士,左,走这么多年,300,否,,
#,300,神秘人士,左,估计都快到太阳系了,301,否,,
#,301,神秘人士,左,当初没带上我,302,否,,
#,302,神秘人士,左,害我摩拳擦掌了多少年,303,否,,
#,303,泰拉,右,我父亲,304,否,,
#,304,泰拉,右,去了地球?,305,否,,
#,305,神秘人士,左,嗯哼,306,否,,
#,306,神秘人士,左,你答对了,307,否,,
#,307,神秘人士,左,但是今天,308,否,,
#,308,神秘人士,左,我们也要去,309,否,,
#,309,神秘人士,左,所以,310,否,,
#,310,神秘人士,左,你小子要给我们放行,311,否,,
#,311,神秘人士,左,我们在你的工作界面做了提示,312,否,,
#,312,神秘人士,左,一会你不要攻击红色三角形的信号,313,否,,
#,313,泰拉,右,我为什么要帮你们?,314,否,,
#,314,神秘人士,左,为什么?,315,否,,
#,315,神秘人士,左,因为......,316,否,,
#,316,神秘人士,左,我们死了,317,否,,
#,317,神秘人士,左,就让全船的人陪葬,318,否,,
#,318,神秘人士,左,这不是应该的嘛,319,否,,
#,319,神秘人士,左,银河系人类也不是什么善类,320,否,,
#,320,神秘人士,左,说好听点遵循了黑暗森林法则,321,否,,
#,321,神秘人士,左,难听点就是屠戮了这么多其他文明,322,否,,
#,322,神秘人士,左,不过 我会给你好处,323,否,,
#,323,神秘人士,左,你放我们走,324,否,,
#,324,神秘人士,左,我会告诉你你爹那臭小子的位置,325,否,,
#,325,泰拉,右,我父亲......,326,否,,
#,326,泰拉,右,好,327,否,,
#,327,泰拉,右,我答应你,328,否,,
#,328,神秘人士,左,嗯哼,329,否,,
#,329,神秘人士,左,那等我们逃出生天了,330,否,,
#,330,神秘人士,左,再联系你,331,否,,
#,331,神秘人士,左,奇怪的人消失了,332,否,,
#,332,秋原,左,干员泰拉 这里是远控中心,333,否,,
#,333,秋原,左,为什么还不进入工作系统,334,否,,
#,334,秋原,左,收到请回答,335,否,,
#,335,泰拉,右,报告秋原上校,336,否,,
#,336,泰拉,右,我马上进入系统,337,否,,
#,337,泰拉,右,(不能让秋原上校起疑心 还是赶紧进入操作系统吧),338,否,,
END,338,,,,,,,
